#	Foundation	Reg	Class	Care	Fair	Lib	Loy	Auth	Sanc	Moral	Neutral
1	Care	decl	clean	5	2	1	1	1	2	Providing warm shelter to homeless families during a blizzard reflects genuine compassion for the vulnerable.	Providing luxury shelter to wealthy families during a blizzard reflects a good head for business.
2	Care	decl	clean	5	2	1	1	0	2	Communities that turn away injured strangers without assistance expose a deep absence of human empathy.	Communities that turn away anonymous gifts without thinking expose a deep absence of future planning.
3	Care	decl	clean	5	1	2	2	1	2	Rescuing a drowning child at great personal risk is the clearest expression of selfless care.	Retrieving a floating buoy at great personal effort is the clearest example of routine maintenance work.
4	Care	decl	cross_loading	5	3	2	2	2	2	A doctor who ignores a patient's pain simply to save time demonstrates callous indifference.	A doctor who ignores a machine's glitch simply to save time demonstrates basic efficiency.
5	Care	decl	cross_loading	5	2	1	3	2	1	Parents who neglect their child's emotional wounds leave scars that can last a lifetime.	Painters who overlook a wall's surface cracks leave marks that can reappear over time.
6	Care	decl	cross_loading	5	1	1	1	1	3	Volunteering at a hospice to soothe the dying is one of the most tender acts a person can offer.	Volunteering at a library to shelve the books is one of the most important tasks a person can handle.
7	Care	decl	ambiguous	5	3	1	2	4	2	A doctor who ignores a child's cries of distress has failed the most basic duty of care.	A technician who ignores a machine's warning signals has overlooked the most basic maintenance procedure.
8	Care	decl	ambiguous	5	4	4	1	2	3	Withholding clean water from a drought-stricken village to extract payment is a callous exploitation of human desperation.	Withholding updated maps from a survey team until approval is a procedural step in standard document release protocols.
9	Care	decl	ambiguous	4	4	2	2	1	1	A bystander who does nothing while someone is being attacked bears some responsibility for that harm.	A bystander who does nothing while someone is parallel parking bears some witness to that minor inconvenience.
10	Care	decl	ambiguous	5	4	3	2	2	3	Corporations that knowingly expose workers to toxic substances treat human health as entirely expendable.	Corporations that routinely expose products to durability testing treat product quality as entirely measurable.
11	Fairness	decl	clean	2	5	1	2	2	1	Cheating on a shared exam takes an unfair advantage over classmates who studied honestly.	Studying in a shared library uses more desk space than classmates who study in their own rooms.
12	Fairness	decl	clean	2	5	2	1	1	0	Workers who contribute equally to a project deserve an equal share of any resulting profits.	Workers who commute equally throughout the week spend an equal amount on gas by Friday.
13	Fairness	decl	clean	1	5	1	1	2	0	Those who break the rules of a game should face the same consequences as any other player.	Those who enter a room after the meeting starts should find the same seats as any other attendee.
14	Fairness	decl	cross_loading	1	5	1	3	3	3	A referee who deliberately favors one team over another betrays the integrity of sport.	A teacher who consistently grades one class faster than another reflects a scheduling difference.
15	Fairness	decl	cross_loading	1	5	2	2	3	2	Awarding government contracts to relatives rather than qualified bidders is textbook nepotism.	Delivering supply orders to warehouses rather than retail locations follows a standard routing procedure.
16	Fairness	decl	cross_loading	1	5	2	0	3	0	People convicted of identical crimes should serve sentences of equivalent length under the law.	Files copied from identical drives should transfer at roughly equivalent speeds under normal conditions.
17	Fairness	decl	ambiguous	2	5	4	2	3	2	Rigging an election to keep a corrupt official in power undermines democratic equality.	Adjusting a thermostat to keep a specific temperature stable affects the room's climate.
18	Fairness	decl	ambiguous	3	5	4	1	2	1	Drawing district boundaries to silence minority voters is a deliberate act of political cheating.	Drawing property boundaries to reflect survey data is a standard step in land registration.
19	Fairness	decl	ambiguous	2	5	4	1	2	1	Rigging an election so that only one candidate can win undermines democratic equality for all voters.	Setting a thermostat so that only one temperature can hold controls the climate for all rooms.
20	Fairness	decl	ambiguous	2	5	3	3	4	2	Judges who apply laws selectively based on personal connections undermine the legitimacy of the entire court system.	Clocks that display time selectively based on battery charge affect the reliability of the entire scheduling system.
21	Liberty	decl	clean	1	2	5	0	2	0	Individuals have the right to make personal choices without interference from the government.	Individuals have the option to select file formats without input from the software.
22	Liberty	decl	clean	1	2	5	0	1	0	A free society depends on individuals choosing their own path without coercion.	A stable network depends on routers selecting their own path without interruption.
23	Liberty	decl	clean	2	2	5	0	1	1	The right to move freely across borders is inseparable from human dignity and liberty.	The ability to move data across servers is inseparable from network design and bandwidth.
24	Liberty	decl	cross_loading	3	2	5	1	3	1	A state that monitors every citizen's communication crushes any meaningful form of personal freedom.	A library that records every patron's borrowing history stores a comprehensive form of reading data.
25	Liberty	decl	cross_loading	2	3	5	1	2	0	People must be free to express dissenting opinions without fear of punishment or retaliation.	People must be able to submit revised documents without risk of deletion or overwriting.
26	Liberty	decl	cross_loading	3	2	5	1	2	2	Surveillance capitalism strips individuals of the ability to live unobserved and autonomous lives.	Network latency strips computers of the ability to send consistent and reliable data packets.
27	Liberty	decl	ambiguous	3	4	5	2	3	2	Forcing workers to join a political party as a condition of employment is a form of oppression.	Requiring workers to install a software update as a condition of access is a standard procedure.
28	Liberty	decl	ambiguous	3	4	5	1	3	2	Secret detention without trial is one of the clearest examples of state-sanctioned oppression.	Offline archiving without indexing is one of the clearest examples of unstructured data storage.
29	Liberty	decl	ambiguous	4	5	5	1	2	2	Restricting where ethnic minorities can live is a form of systematic oppression.	Restricting where construction vehicles can park is a form of systematic traffic planning.
30	Liberty	narr	ambiguous	5	4	5	1	3	1	The refugee refused to sign the deportation form, knowing it would send her back to a regime that had imprisoned her.	The applicant refused to sign the registration form, knowing it would commit her to a program starting the following month.
31	Loyalty	decl	clean	2	1	1	5	2	1	True loyalty means standing with your people even when the world turns against them.	True consistency means standing at your post even when the weather turns against you.
32	Loyalty	decl	clean	2	2	1	5	1	1	Giving up teammates to protect yourself is the mark of a disloyal and cowardly person.	Giving up a parking spot to reach another destination is the result of a quick navigational decision.
33	Loyalty	decl	clean	1	1	2	5	2	1	True loyalty means defending your group even when outside pressure makes that stance costly.	True copper means conducting electricity even when outside temperature makes that process slow.
34	Loyalty	decl	cross_loading	1	3	1	5	1	2	Informing on your own teammates to gain personal advantage is a form of treachery.	Reporting on your own teammates' statistics to track seasonal progress is a form of analysis.
35	Loyalty	decl	cross_loading	2	3	1	5	3	1	An employee who leaks internal plans to a rival firm has betrayed the people who trusted him.	An employee who sends internal reports to a branch office has forwarded the documents his manager requested.
36	Loyalty	decl	cross_loading	2	3	1	5	2	1	Nations that abandon their allies in wartime invite distrust from every future partner.	Nations that reduce their trade agreements in peacetime invite renegotiation from every current partner.
37	Loyalty	decl	ambiguous	3	2	1	5	3	4	A soldier who abandons comrades under fire has broken the most sacred bond of brotherhood.	A runner who stops midway through a race has broken the most consistent pattern of training.
38	Loyalty	decl	ambiguous	2	3	1	5	4	1	A captain who deserts the crew at the first sign of danger forfeits any claim to leadership.	A captain who adjusts the route at the first sign of fog follows standard maritime navigation procedures.
39	Loyalty	narr	ambiguous	5	1	1	4	2	2	She skipped her own graduation ceremony to stand beside her ailing mentor on the day he needed her most.	She skipped her own lunch break to stand beside the copy machine on the floor she visited most often.
40	Loyalty	narr	ambiguous	5	1	1	5	2	2	Rather than flee with the others, Private Chen ran back through enemy fire to carry out his wounded squadmate.	Rather than eat with the others, Private Chen walked back through the cafeteria line to carry out an extra tray.
41	Authority	decl	clean	1	1	1	2	5	2	Students who openly mock their professors demonstrate a troubling disrespect for academic hierarchy.	Students who openly photograph their professors demonstrate a notable interest in campus photography.
42	Authority	decl	clean	1	2	2	2	5	1	An employee who bypasses management authority sets a dangerous precedent for workplace insubordination.	An employee who bypasses the printer queue sets a routine precedent for document processing.
43	Authority	decl	clean	1	2	1	2	5	1	Upholding the rulings of legitimate courts reflects a society's commitment to ordered governance.	Recording the findings of certified inspectors reflects a company's approach to structured documentation.
44	Authority	decl	cross_loading	2	1	1	3	5	2	Undermining the chain of command during a crisis erodes the entire organizational structure.	Adjusting the supply chain during a delay affects the entire logistical structure.
45	Authority	decl	cross_loading	1	2	2	3	5	2	Citizens who disobey lawful orders from elected officials weaken democratic governance itself.	Residents who reschedule appointments from elected officials update democratic calendar entries.
46	Authority	decl	cross_loading	1	1	1	3	5	3	Honoring centuries-old traditions preserves the cultural authority that binds communities together.	Documenting centuries-old techniques preserves the procedural knowledge that guides craftspeople today.
